timestamp,user_id,ip_address,login_status,login_method,device_type,browser
2024-01-01 01:50:21,USER5381,249.82.165.19,SUCCESS,SSO,Desktop,Firefox
2024-01-01 02:41:27,USER1474,116.120.175.133,FAILED,SSO,Mobile,Edge
2024-01-01 05:16:03,USER3955,89.33.225.213,SUCCESS,PASSWORD,Tablet,Other
2024-01-01 05:47:59,USER5477,200.142.164.151,SUCCESS,2FA,Mobile,Other
2024-01-01 09:18:13,USER6062,47.197.248.34,SUCCESS,SSO,Tablet,Firefox
2024-01-01 09:36:43,USER6567,111.129.234.223,SUCCESS,PASSWORD,Mobile,Chrome
2024-01-01 09:46:19,USER6751,15.213.32.133,SUCCESS,BIOMETRIC,Mobile,Edge
2024-01-01 11:19:48,USER1100,40.78.43.42,FAILED,2FA,Tablet,Other
2024-01-01 12:16:59,USER3972,83.240.182.58,SUCCESS,BIOMETRIC,Desktop,Firefox
2024-01-01 13:28:44,USER3347,89.243.241.133,SUCCESS,SSO,Desktop,Other
2024-01-01 17:12:45,USER7566,230.73.217.21,SUCCESS,SSO,Desktop,Edge
2024-01-01 18:18:30,USER2140,65.51.163.245,FAILED,PASSWORD,Server,Edge
2024-01-01 18:55:43,USER3324,142.71.33.161,SUCCESS,BIOMETRIC,Tablet,Safari
2024-01-01 20:38:51,USER1502,78.158.137.24,SUCCESS,2FA,Desktop,Firefox
2024-01-02 00:15:12,USER2503,129.165.44.152,SUCCESS,PASSWORD,Mobile,Edge
2024-01-02 01:35:18,USER9691,242.149.40.44,SUCCESS,PASSWORD,Tablet,Safari
2024-01-02 03:09:40,USER4524,169.160.185.231,SUCCESS,PASSWORD,Desktop,Safari
2024-01-02 06:53:26,USER7163,155.87.216.237,SUCCESS,2FA,Mobile,Other
2024-01-02 07:30:39,USER7878,145.11.212.222,SUCCESS,BIOMETRIC,Tablet,Other
2024-01-02 10:25:17,USER8432,8.21.12.243,SUCCESS,PASSWORD,Desktop,Safari
2024-01-02 13:47:20,USER6585,165.198.148.68,SUCCESS,SSO,Mobile,Other
2024-01-02 19:04:15,USER3578,167.54.197.147,SUCCESS,PASSWORD,Desktop,Edge
2024-01-02 22:23:13,USER7062,107.159.164.8,SUCCESS,BIOMETRIC,Tablet,Chrome
2024-01-03 01:10:50,USER6105,128.228.161.140,SUCCESS,2FA,Server,Edge
2024-01-03 04:09:14,USER6314,75.165.245.78,SUCCESS,2FA,Tablet,Safari
2024-01-03 06:58:36,USER2391,124.63.207.207,SUCCESS,PASSWORD,Desktop,Safari
2024-01-03 07:10:26,USER1861,176.104.77.117,SUCCESS,PASSWORD,Tablet,Edge
2024-01-03 07:53:58,USER3549,19.177.16.41,SUCCESS,PASSWORD,Tablet,Other
2024-01-03 09:32:42,USER3579,113.107.124.119,SUCCESS,PASSWORD,Desktop,Other
2024-01-03 10:16:20,USER1815,53.88.156.37,SUCCESS,2FA,Tablet,Safari
2024-01-03 12:24:38,USER2336,81.221.184.82,SUCCESS,2FA,Desktop,Firefox
2024-01-03 15:01:47,USER5458,188.253.221.89,SUCCESS,BIOMETRIC,Mobile,Other
2024-01-03 16:15:17,USER8259,250.103.34.195,SUCCESS,BIOMETRIC,Desktop,Edge
2024-01-03 19:55:24,USER7947,95.132.144.28,FAILED,SSO,Desktop,Other
2024-01-04 02:56:44,USER8957,82.62.120.32,FAILED,2FA,Desktop,Edge
2024-01-04 06:18:14,USER8242,69.116.64.37,SUCCESS,BIOMETRIC,Mobile,Safari
2024-01-04 08:11:37,USER7785,25.13.75.243,SUCCESS,2FA,Desktop,Other
2024-01-04 11:49:35,USER5475,99.222.158.108,SUCCESS,PASSWORD,Mobile,Edge
2024-01-04 11:54:22,USER4531,64.247.222.231,SUCCESS,PASSWORD,Desktop,Safari
2024-01-04 11:54:35,USER9394,41.209.84.240,SUCCESS,PASSWORD,Desktop,Firefox
2024-01-04 11:56:53,USER2864,148.185.81.49,SUCCESS,BIOMETRIC,Mobile,Edge
2024-01-04 12:55:02,USER6655,196.41.128.255,SUCCESS,SSO,Mobile,Firefox
2024-01-04 12:55:32,USER8043,132.120.128.226,SUCCESS,PASSWORD,Desktop,Firefox
2024-01-04 13:23:40,USER2816,79.128.6.24,FAILED,SSO,Mobile,Chrome
2024-01-04 14:06:33,USER5640,242.101.130.118,SUCCESS,SSO,Tablet,Other
2024-01-04 14:07:41,USER8972,248.62.56.150,SUCCESS,PASSWORD,Mobile,Edge
2024-01-04 14:10:44,USER9633,91.13.13.73,SUCCESS,PASSWORD,Desktop,Firefox
2024-01-04 14:32:14,USER6053,127.153.226.216,SUCCESS,SSO,Desktop,Chrome
2024-01-04 15:45:58,USER1744,168.173.121.74,SUCCESS,SSO,Tablet,Safari
